Found: b'row1', {b'personal:power': (b'fly', 1522875505886), b'personal:hero': (b'yes', 1522875505886), b'professional:name': (b'batman', 1522875505886), b'professional:xp': (b'100', 1522875505886), b'custom:color': (b'black', 1522875505886)}
Found: b'row10', {b'personal:power': (b'think', 1522875505940), b'personal:hero': (b'no', 1522875505940), b'professional:name': (b'gandalf', 1522875505940), b'professional:xp': (b'86', 1522875505940), b'custom:color': (b'grey', 1522875505940)}
Found: b'row11', {b'personal:power': (b'run', 1522875505943), b'personal:hero': (b'no', 1522875505943), b'professional:name': (b'catman', 1522875505943), b'professional:xp': (b'84', 1522875505943), b'custom:color': (b'brown', 1522875505943)}
Found: b'row12', {b'personal:power': (b'catch', 1522875505946), b'personal:hero': (b'no', 1522875505946), b'professional:name': (b'dogman', 1522875505946), b'professional:xp': (b'47', 1522875505946), b'custom:color': (b'brown', 1522875505946)}
Found: b'row13', {b'personal:power': (b'stink', 1522875505950), b'personal:hero': (b'maybe', 1522875505950), b'professional:name': (b'eggman', 1522875505950), b'professional:xp': (b'58', 1522875505950), b'custom:color': (b'white', 1522875505950)}
Found: b'row14', {b'personal:power': (b'swim', 1522875505953), b'personal:hero': (b'maybe', 1522875505953), b'professional:name': (b'fishman', 1522875505953), b'professional:xp': (b'58', 1522875505953), b'custom:color': (b'blue', 1522875505953)}
Found: b'row15', {b'personal:power': (b'fly', 1522875505957), b'personal:hero': (b'no', 1522875505957), b'professional:name': (b'birdman', 1522875505957), b'professional:xp': (b'2', 1522875505957), b'custom:color': (b'grey', 1522875505957)}
Found: b'row16', {b'personal:power': (b'fly', 1522875505959), b'personal:hero': (b'no', 1522875505959), b'professional:name': (b'flyman', 1522875505959), b'professional:xp': (b'32', 1522875505959), b'custom:color': (b'black', 1522875505959)}
Found: b'row17', {b'personal:power': (b'stay', 1522875505960), b'personal:hero': (b'no', 1522875505960), b'professional:name': (b'sofaman', 1522875505960), b'professional:xp': (b'77', 1522875505960), b'custom:color': (b'red', 1522875505960)}
Found: b'row18', {b'personal:power': (b'scream', 1522875505963), b'personal:hero': (b'maybe', 1522875505963), b'professional:name': (b'beast', 1522875505963), b'professional:xp': (b'33', 1522875505963), b'custom:color': (b'brown', 1522875505963)}
Found: b'row19', {b'personal:power': (b'hide', 1522875505967), b'personal:hero': (b'no', 1522875505967), b'professional:name': (b'goblin', 1522875505967), b'professional:xp': (b'67', 1522875505967), b'custom:color': (b'green', 1522875505967)}
